candidate_id,rank,score,reasoning
CAND_0010257,12,0.49138683,"Stands above CAND_0007412 on the strength of stronger Qdrant retrieval experience, coupled with higher skill assessment performance (70/100 vs 53/100 avg), notwithstanding less explicit Pinecone hosting experience and PyTorch depth, along with lower response rate (72% vs 76%). With 6.5 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search, coupled with Qdrant for vector retrieval. Recruited from PharmEasy, they now operate as a Senior Data Scientist at Google, bringing cross-company perspective to the role, and large-company operating experience (10001+). Backed by steady GitHub coding activity (GitHub: 46/100), their active engagement is reflected in fair platform communication (72% response rate) and clear active-search intent (16 applications and open to work), with market validation signals including 35 recruiter saves, 269 recruiter views, 890 search appearances, alongside prompt recruiter follow-up (46h average). While they represent an excellent technical fit, their extended 120-day notice period will require scheduling coordination."
CAND_0007412,13,0.47384761,"Secures a higher rank than CAND_0006567 thanks to stronger Milvus vector-search experience and Pinecone hosting experience, coupled with stronger JD relevance alignment, despite longer 120-day notice period, along with lower skill assessment performance (53/100 vs 76/100 avg). Based on their career arc from Swiggy to Zoho, this Applied ML Engineer has accumulated meaningful industry exposure, and large-company operating experience (10001+). They maintain moderate platform responsiveness (76% response rate) and demonstrate a moderate open-source footprint (GitHub: 36/100) and clear active-search intent (20 applications and open to work), with market validation signals including 38 recruiter saves, 251 recruiter views, 785 search appearances, alongside an exceptionally fast recruiter response time (24h average). With 7.4 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search and Pinecone vector database hosting, plus PyTorch-based model training. While they represent an excellent technical fit, their extended 120-day notice period will require scheduling coordination."
CAND_0006567,14,0.44824756,"Positioned ahead of CAND_0020877 on the basis of stronger behavioral engagement profile, coupled with higher recruiter response rate (79% vs 66%), regardless of less explicit Elasticsearch hybrid-search experience and Milvus vector-search experience, along with lower GitHub activity (35 vs 74). With 7.9 years of experience, they possess a strong foundation in core software development and machine learning systems. Backed by steady GitHub coding activity (GitHub: 35/100), their active engagement is reflected in generally consistent platform engagement (79% response rate) and active job-seeking intent (open to work, 0 applications), with market validation signals including 76 recruiter saves, 167 recruiter views, 1049 search appearances, alongside prompt recruiter follow-up (26h average). Their professional journey from Glance to their current position as Senior AI Engineer at Meta reflects deliberate career progression in this domain, and large-company operating experience (10001+). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0020877,15,0.41211279,"Positioned ahead of CAND_0054394 on the basis of stronger Elasticsearch hybrid-search experience and Milvus vector-search experience, coupled with higher skill assessment performance (75/100 vs 0/100 avg), regardless of less explicit Pinecone hosting experience and Transformer deployment experience, along with longer 60-day notice period. With 5.1 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search and Milvus for high-dimensional vector search, plus PyTorch-based model training. Backed by a very active GitHub presence (GitHub: 74/100), their active engagement is reflected in below-average platform engagement (66% response rate) and visible application activity (12 applications this month), with market validation signals including 19 recruiter saves, 300 recruiter views, 781 search appearances, alongside a workable recruiter follow-up cadence (67h average). Their professional journey from BYJU'S to their current position as Applied ML Engineer at CRED reflects deliberate career progression in this domain, and large-company operating experience (1001-5000). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0054394,16,0.38627475,"Edges out CAND_0068811 with a slight edge from stronger Transformer deployment experience, coupled with higher recruiter response rate (64% vs 42%), regardless of less explicit Qdrant retrieval experience, along with lower skill assessment performance (0/100 vs 53/100 avg). Their profile highlights a moderate public contribution profile (GitHub: 32/100) along with a limited 64% recruiter response rate and clear active-search intent (14 applications and open to work), with market validation signals including 46 recruiter saves, 9 recruiter views, 199 search appearances, alongside a standard recruiter response window (79h average). With a career that spans Netflix and now PharmEasy, this individual operates at the level of a seasoned Recommendation Systems Engineer, and large-company operating experience (5001-10000). With 4.1 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Pinecone vector database hosting, coupled with Transformer-based model deployment. Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0068811,17,0.37818608,"Edges out CAND_0008295 marginally owing to stronger Pinecone hosting experience and Qdrant retrieval experience, coupled with stronger JD relevance alignment, even with lower response rate (42% vs 89%), along with weaker behavioral engagement profile. With 8.0 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Pinecone vector database hosting, coupled with Qdrant for vector retrieval. Backed by limited public repository activity (GitHub: 23/100), their active engagement is reflected in weak platform communication (42% response rate) and active job-seeking intent (open to work, 6 applications), with market validation signals including 4 recruiter saves, 35 recruiter views, 478 search appearances, alongside prompt recruiter follow-up (27h average). Their professional journey from Meesho to their current position as Applied ML Engineer at Freshworks reflects deliberate career progression in this domain, and large-company operating experience (5001-10000). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0008295,18,0.37706325,"Edges out CAND_0058575 marginally owing to higher skill assessment performance (59/100 vs 0/100 avg), coupled with shorter notice period (45 vs 90 days), even with less explicit Pinecone hosting experience and PyTorch depth, along with somewhat lower JD relevance alignment. With 6.5 years of experience, they possess a strong foundation in core software development and machine learning systems. Backed by a very active GitHub presence (GitHub: 51/100), their active engagement is reflected in consistently active platform communication (89% response rate) and clear active-search intent (16 applications and open to work), with market validation signals including 31 recruiter saves, 27 recruiter views, 248 search appearances, alongside a highly responsive recruiter cadence (4h average). Their professional journey from TCS to their current position as AI Research Engineer at Razorpay reflects deliberate career progression in this domain, and large-company operating experience (1001-5000). They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0058575,19,0.37307654,"Edges out CAND_0054546 marginally owing to stronger Pinecone hosting experience and PyTorch depth, coupled with stronger JD relevance alignment, even with lower skill assessment performance (0/100 vs 76/100 avg), along with less explicit Qdrant retrieval experience. With 5.8 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Pinecone vector database hosting and PyTorch-based model training, plus Transformer-based model deployment. Backed by steady GitHub coding activity (GitHub: 35/100), their active engagement is reflected in below-average platform engagement (69% response rate) and active job-seeking intent (open to work, 8 applications), with market validation signals including 47 recruiter saves, 114 recruiter views, 120 search appearances, alongside a highly responsive recruiter cadence (16h average). Based on their career arc from Uber to Krutrim, this AI Engineer has accumulated meaningful industry exposure, and mid-market operating experience (201-500). They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0054546,20,0.36799863,"Edges out CAND_0037566 marginally owing to stronger Qdrant retrieval experience and Transformer deployment experience, coupled with higher recruiter response rate (92% vs 50%), even with less explicit Elasticsearch hybrid-search experience and Pinecone hosting experience, along with longer 90-day notice period. With 4.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Qdrant for vector retrieval, coupled with Transformer-based model deployment. Backed by a very active GitHub presence (GitHub: 75/100), their active engagement is reflected in excellent platform communication (92% response rate) and clear active-search intent (10 applications and open to work), with market validation signals including 41 recruiter saves, 97 recruiter views, 345 search appearances, alongside a highly responsive recruiter cadence (2h average). A AI Research Engineer at Razorpay, their profile reflects a single-employer depth that often correlates with strong institutional knowledge, reflecting large-company operating experience (1001-5000). They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0037566,21,0.36024452,"Stands above CAND_0067866 on the strength of stronger Pinecone hosting experience, coupled with higher skill assessment performance (82/100 vs 0/100 avg), notwithstanding less explicit Qdrant retrieval experience, along with lower response rate (50% vs 79%). With 6.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search, coupled with Pinecone vector database hosting. Currently serving as a Machine Learning Engineer at LinkedIn, this candidate brings a proven professional history with prior experience at Paytm, and large-company operating experience (10001+). Backed by a very active GitHub presence (GitHub: 73/100), their active engagement is reflected in weak platform communication (50% response rate) and active job-seeking intent (open to work, 2 applications), with market validation signals including 23 recruiter saves, 110 recruiter views, 708 search appearances, alongside a workable recruiter follow-up cadence (70h average). Given their short 15-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0067866,22,0.34627077,"Stands above CAND_0052328 on the strength of stronger Elasticsearch hybrid-search experience and Qdrant retrieval experience, coupled with stronger behavioral engagement profile, notwithstanding lower skill assessment performance (0/100 vs 76/100 avg), along with less explicit Transformer deployment experience. With 6.4 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search, coupled with Qdrant for vector retrieval. With a career that spans Freshworks and now Tech Mahindra, this individual operates at the level of a seasoned Senior Software Engineer (ML), and large-company operating experience (10001+). Backed by steady GitHub coding activity (GitHub: 28/100), their active engagement is reflected in generally consistent platform engagement (79% response rate) and active job-seeking intent (open to work, 3 applications), with market validation signals including 26 recruiter saves, 106 recruiter views, 211 search appearances, alongside a highly responsive recruiter cadence (7h average). They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0052328,23,0.33173270,"Secures a higher rank than CAND_0094056 thanks to shorter notice period (30 vs 120 days), coupled with higher skill assessment performance (76/100 vs 0/100 avg), despite less explicit Milvus vector-search experience and Pinecone hosting experience, along with weaker behavioral engagement profile. Having transitioned from Observe.AI to Amazon, they currently hold the role of Recommendation Systems Engineer and bring demonstrable cross-organisation experience, and large-company operating experience (10001+). They maintain steady platform responsiveness (79% response rate) and demonstrate a strong coding contribution profile (GitHub: 78/100) and active job-seeking intent (open to work, 4 applications), with market validation signals including 31 recruiter saves, 107 recruiter views, 627 search appearances, alongside a fast recruiter response time (32h average). With 6.5 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Transformer-based model deployment. Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0094056,24,0.31666170,"Edges out CAND_0081852 marginally owing to stronger Pinecone hosting experience and Transformer deployment experience, coupled with higher recruiter response rate (82% vs 44%), even with longer 120-day notice period, along with somewhat lower JD relevance alignment. With 5.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search and Pinecone vector database hosting, plus Transformer-based model deployment. Backed by a very active GitHub presence (GitHub: 65/100), their active engagement is reflected in generally consistent platform engagement (82% response rate), with market validation signals including 4 recruiter saves, 268 recruiter views, 788 search appearances, alongside a workable recruiter follow-up cadence (56h average). Their professional journey from Adobe to their current position as NLP Engineer at Rephrase.ai reflects deliberate career progression in this domain, and small-company operating experience (11-50). While they represent an excellent technical fit, their extended 120-day notice period will require scheduling coordination."
CAND_0081852,25,0.31421582,"Edges out CAND_0061257 marginally owing to stronger Milvus vector-search experience, coupled with stronger JD relevance alignment, even with lower response rate (44% vs 87%), along with less explicit indexing architecture experience. With 5.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search. Backed by an exceptional coding contribution profile (GitHub: 88/100), their active engagement is reflected in weak platform communication (44% response rate) and clear active-search intent (18 applications and open to work), with market validation signals including 25 recruiter saves, 126 recruiter views, 438 search appearances, alongside a workable recruiter follow-up cadence (52h average). Their professional journey from Nykaa to their current position as Senior Data Scientist at Mad Street Den reflects deliberate career progression in this domain, and mid-market operating experience (201-500). They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0061257,26,0.31275212,"Nudges past CAND_0025882 narrowly thanks to stronger indexing architecture experience, coupled with higher recruiter response rate (87% vs 79%), notwithstanding less explicit Faiss similarity-search experience and Milvus vector-search experience, along with somewhat lower JD relevance alignment. With 8.0 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with custom indexing architectures. This Staff Machine Learning Engineer at LinkedIn has a track record that includes a notable tenure at Yellow.ai, signaling strong domain continuity, and large-company operating experience (10001+). Backed by steady GitHub coding activity (GitHub: 45/100), their active engagement is reflected in consistently active platform communication (87% response rate) and clear active-search intent (24 applications and open to work), with market validation signals including 80 recruiter saves, 236 recruiter views, 80 search appearances, alongside a workable recruiter follow-up cadence (50h average). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0025882,27,0.31027971,"Placed above CAND_0076831 in the list primarily owing to stronger Faiss similarity-search experience, coupled with higher recruiter response rate (79% vs 50%), even with less explicit PyTorch depth, along with somewhat lower JD relevance alignment. Their profile highlights a moderate public contribution profile (GitHub: 35/100) along with a respectable 79% recruiter response rate and active job-seeking intent (open to work, 1 applications), with market validation signals including 14 recruiter saves, 61 recruiter views, 184 search appearances, alongside a stretched recruiter response window (103h average). With a career that spans HCL and now Freshworks, this individual operates at the level of a seasoned Senior Software Engineer (ML), and large-company operating experience (5001-10000). With 5.6 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search, coupled with Milvus for high-dimensional vector search. They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0076831,28,0.29739132,"Placed above CAND_0080344 in the list primarily owing to stronger Milvus vector-search experience, coupled with stronger JD relevance alignment, even with less explicit Transformer deployment experience, along with lower response rate (50% vs 70%). Their profile highlights a moderate public contribution profile (GitHub: 47/100) along with a low 50% recruiter response rate, worth flagging and clear active-search intent (22 applications and open to work), with market validation signals including 3 recruiter saves, 34 recruiter views, 248 search appearances, alongside an efficient recruiter cadence (40h average). With a career that spans Zomato and now Krutrim, this individual operates at the level of a seasoned Search Engineer, and mid-market operating experience (201-500). With 4.0 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search, coupled with PyTorch-based model training. They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0080344,29,0.28544754,"Edges out CAND_0093763 with a slight edge from stronger GitHub activity (27 vs 0), coupled with stronger JD relevance alignment, regardless of less explicit Faiss similarity-search experience, along with lower response rate (70% vs 92%). Their profile highlights a moderate public contribution profile (GitHub: 27/100) along with a developing 70% recruiter response rate and clear active-search intent (14 applications and open to work), with market validation signals including 5 recruiter saves, 146 recruiter views, 735 search appearances, alongside a standard recruiter response window (67h average). Currently serving as a Senior Software Engineer (ML) at Zoho, this candidate brings a proven professional history with prior experience at Razorpay, and large-company operating experience (10001+). With 4.9 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with PyTorch-based model training, coupled with Transformer-based model deployment. They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0093763,30,0.28349717,"Holds a tight lead over CAND_0083879 on the back of stronger Faiss similarity-search experience and PyTorch depth, coupled with higher recruiter response rate (92% vs 47%), despite less explicit Milvus vector-search experience, along with longer 90-day notice period. They maintain a strong 92% recruiter communication rate throughout their platform activity and clear active-search intent (10 applications and open to work), with market validation signals including 45 recruiter saves, 64 recruiter views, 581 search appearances, alongside very quick recruiter follow-up (6h average). With 5.0 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Faiss for dense similarity search and PyTorch-based model training, plus Transformer-based model deployment. Having transitioned from BYJU'S to Swiggy, they currently hold the role of Senior Software Engineer (ML) and bring demonstrable cross-organisation experience, and large-company operating experience (5001-10000). They are available within a standard 90-day notice period and align well with the team's operational timeline."
CAND_0083879,31,0.27962489,"Ranked above CAND_0006418 due to stronger Milvus vector-search experience and Transformer deployment experience, coupled with shorter notice period (30 vs 60 days), despite less explicit Elasticsearch hybrid-search experience and Qdrant retrieval experience, along with lower response rate (47% vs 92%). Currently serving as a Machine Learning Engineer at Ola, this candidate brings a proven professional history with prior experience at PhonePe, and large-company operating experience (5001-10000). With 7.1 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Milvus for high-dimensional vector search, coupled with Transformer-based model deployment. They exhibit strong engagement signals, including poor platform responsiveness (47% response rate) and clear active-search intent (14 applications and open to work), with market validation signals including 64 recruiter saves, 274 recruiter views, 574 search appearances, alongside a fast recruiter response time (24h average). Given their short 30-day notice period, they are available to onboard quickly and represent a high-value, low-risk hire."
CAND_0006418,32,0.26065060,"Edges out CAND_0030348 with a slight edge from stronger Qdrant retrieval experience, coupled with higher recruiter response rate (92% vs 54%), regardless of less explicit PyTorch depth, along with somewhat lower JD relevance alignment. Their profile highlights a robust open-source footprint (GitHub: 60/100) along with a strong 92% recruiter communication rate and active job-seeking intent (open to work, 9 applications), with market validation signals including 9 recruiter saves, 151 recruiter views, 372 search appearances, alongside an efficient recruiter cadence (47h average). Currently serving as a Machine Learning Engineer at Verloop.io, this candidate brings a proven professional history with prior experience at Flipkart, and mid-market operating experience (51-200). With 5.7 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search, coupled with Qdrant for vector retrieval. They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0030348,33,0.25251647,"Edges out CAND_0075574 marginally owing to stronger JD relevance alignment, coupled with higher skill assessment performance (87/100 vs 69/100 avg), even with less explicit Qdrant retrieval experience and Transformer deployment experience, along with lower GitHub activity (0 vs 38). With 4.5 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search, coupled with PyTorch-based model training. Platform metrics indicate weak platform communication (54% response rate) and clear active-search intent (20 applications and open to work), with market validation signals including 18 recruiter saves, 259 recruiter views, 593 search appearances, alongside prompt recruiter follow-up (31h average). A Machine Learning Engineer at BYJU'S, they previously built their expertise at PolicyBazaar before taking on their current role, and large-company operating experience (10001+). They are available within a standard 45-day notice period and align well with the team's operational timeline."
CAND_0075574,34,0.24458912,"Holds a tight lead over CAND_0015057 on the back of stronger Elasticsearch hybrid-search experience and PyTorch depth, coupled with stronger GitHub activity (38 vs 0), despite lower response rate (58% vs 85%), along with weaker behavioral engagement profile. Their profile highlights a moderate public contribution profile (GitHub: 38/100) along with a limited 58% recruiter response rate and active job-seeking intent (open to work, 6 applications), with market validation signals including 24 recruiter saves, 55 recruiter views, 625 search appearances, alongside an efficient recruiter cadence (45h average). With 5.7 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Elasticsearch for hybrid keyword search and PyTorch-based model training, plus Qdrant for vector retrieval. Having transitioned from Genpact AI to Haptik, they currently hold the role of Machine Learning Engineer and bring demonstrable cross-organisation experience, and mid-market operating experience (201-500). They are available within a standard 60-day notice period and align well with the team's operational timeline."
CAND_0015057,35,0.23637988,"Edges out CAND_0036863 marginally owing to stronger Transformer deployment experience, coupled with higher recruiter response rate (85% vs 46%), even with less explicit Faiss similarity-search experience, along with somewhat lower JD relevance alignment. With 4.6 years of experience, they have developed hands-on technical depth matching our requirements, demonstrating specific experience with Qdrant for vector retrieval, coupled with Transformer-based model deployment. Platform metrics indicate consistently active platform communication (85% response rate) and clear active-search intent (15 applications and open to work), with market validation signals including 32 recruiter saves, 73 recruiter views, 80 search appearances, alongside a highly responsive recruiter cadence (9h average). A ML Engineer at Meesho, they previously built their expertise at Wysa before taking on their current role, and large-company operating experience (1001-5000). They are available within a standard 90-day notice period and align well with the team's operational timeline."
